Quadrant,Samples,Chromonela odorata,Axystasia gangetica,Ixora coccinea,Sida acuta,Alternathera brasilliana,Panicum maximum,Emilia praetermissa,Tridax procumbens,Commelina erecta,Centrosema pubescens,Leucaena leucophala,Eleutheranthera ruderalis
Q11,S3,0,0.033333333,0,0,0,0.033333333,0,0,0.4,0,0.033333333,13.66666667
Q12,S3,0,0,0,0,0,0,0,0,1,0.066666667,0,30
Q13,S3,0,0,0,0,0,0,0,0,1.666666667,0,0,20
Q14,S3,0,0,0,0,0,0.066666667,0,0,0.4,0,0.033333333,1.666666667
Q15,S3,0,0.033333333,0,0,0,0.333333333,0,0,1.033333333,0,0,1
Q16,S3,0,0.033333333,0,0,0,0,0,0,0.2,0,1,1.7
Q17,S3,0,0,0,0,0,0,0,0,0.066666667,0,1,0.1
Q1,S4,0,0.333333333,0.166666667,0,0,4,0,0,4,0.666666667,0.333333333,28.33333333
Q2,S4,0,0.066666667,0,0,0,20.1,0,0,4.333333333,0.166666667,0,15
Q3,S4,0,0.033333333,0,0,0.066666667,24.66666667,0,0,6.333333333,0.2,0,10.83333333
Q4,S4,0,0.033333333,0,0,0,8.333333333,0,0,2.666666667,0.033333333,0.033333333,23.9
Q5,S4,0,0.333333333,0,0,0,4,0,0,0.666666667,0.033333333,0.033333333,20.66666667
Q6,S4,0,0.166666667,0,0,0,3.5,0.066666667,0,2.333333333,0.066666667,0,35
Q7,S4,0,0.666666667,0,0,0.033333333,1.666666667,0.666666667,0,19.33333333,0.333333333,0,56.66666667
Q8,S4,0,1.333333333,0,0,0.166666667,1,0,0,31.33333333,0.666666667,0,43.33333333
Q9,S4,0,0.333333333,0,0,0,1.666666667,0,0,23.33333333,1,0.033333333,25
Q10,S4,0,0.266666667,0,0,0,2,0.166666667,1,9,0.733333333,0.033333333,28.33333333
Q11,S4,0,3.333333333,0,0,0,1.333333333,0,0,1,0.166666667,0.033333333,66.66666667
Q12,S4,0,0.066666667,0,0,0,13.83333333,0,0,1.266666667,0.1,0,39.66666667
Q13,S4,0,0,0,0,0,14,0.033333333,0,3.5,0.166666667,0,28.83333333
Q14,S4,0,0,0,0,0,1.066666667,0,0,5,0.366666667,0.033333333,25.06666667
Q15,S4,0,0.033333333,0,0,0.033333333,6.666666667,0,0,2.666666667,0.333333333,0.1,25
Q16,S4,0,0.033333333,0,0,0.166666667,3.333333333,0.033333333,0,4.333333333,1,0,20
Q17,S4,0,0.066666667,0,0,0.433333333,0.4,6.833333333,0,3.366666667,0.666666667,0,18.33333333
Q1,S5,0,0,0,0,0,33.33333333,0,0,5,4,2.333333333,31.66666667
Q2,S5,0,0,0,0,0,26.66666667,0,0,5,1.666666667,1,36.66666667
Q3,S5,0,0,0,0,0,36.66666667,0,0,6.666666667,0.333333333,0.333333333,35
Q4,S5,0,0,0,0,0,15,0,0,3.333333333,3.333333333,1,40.66666667
Q5,S5,0,0,0,0,0,23.33333333,0,6.666666667,5.666666667,0,0.333333333,38.33333333
Q6,S5,0,0,0,0,0,3.333333333,0,1.666666667,25,0.333333333,0,56.66666667
Q7,S5,0,0,0,0,0,7.333333333,0,6.666666667,5,0,0,60
Q8,S5,0,0,0,0,0,3.333333333,0,10,28.33333333,0.666666667,0.333333333,36.66666667
Q9,S5,0,0,0,0,0,1.666666667,0,0.666666667,26.66666667,0,1,43.33333333
Q10,S5,0,0,0,0,0,0,0,13.33333333,23.33333333,1.666666667,0,50
Q11,S5,0,0,0,0,0,0.666666667,0,0,25,0.666666667,0,61.66666667
Q12,S5,0,0,0,0,0,0,0,0.666666667,24,0,0,61
Q13,S5,0,0.666666667,0,0,0,0,0,0.333333333,22.33333333,1,0.666666667,56.66666667
Q14,S5,0,0,0,0,0,6.666666667,0,0.666666667,25,1,0,35.66666667
Q15,S5,0,0.666666667,0,0,0.666666667,5,0,0,18.33333333,1,1.666666667,12.66666667
Q16,S5,0,0,0,0,0.333333333,1.666666667,0,7.333333333,3.333333333,0.666666667,0,15
Q17,S5,0,0,0,0,0,6.666666667,0,20,13.33333333,0.333333333,0,31.66666667
