"","Timestamp","Age","Gender","Role in clinic","Years of Experience","Clinic Location","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","Knowledge_9","Knowledge_10","Challenge_1","Challenge_2","Challenge_3","Challenge_4","Challenge_5","Challenge_6","Opportunity_1","Opportunity_2","Opportunity_3","Opportunity_4","Opportunity_5","Would you support integrating tele-eye care?","Training Needs","Policy Suggestions"
"11","45840.87939688657","21 - 30 yrs","Male","Optometrist","4","Benin","Strongly Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Slight Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Inclusion of tele‑eye care modules in optometry training and CPD programs"
"12","45841.23678517361","21 - 30 yrs","Male","Optometrist","5","Rolof optical eye clinic","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Significant Challenge","Slight Challenge","Major Challenge","Not a Challenge","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Yes","Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Development and enforcement of a national tele‑optometry regulatory framework, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"13","45841.34138115741","21 - 30 yrs","Female","Primary health care","5 years","Forst eye clinic, Lagos.","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Significant Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Agree","Agree","Disagree","Agree","Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Virtual patient communication and etiquette, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Inclusion of tele‑eye care modules in optometry training and CPD programs, Mandatory CPD credits in tele‑optometry competencies"
"14","45842.73657493055","31 - 40 yrs","Female","Optometrist","Final year student","University of Benin Teaching clinic","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Major Challenge","Major Challenge","Major Challenge","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette, Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings, Data privacy and cybersecurity awareness","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Development and enforcement of a national tele‑optometry regulatory framework, Inclusion of tele‑eye care modules in optometry training and CPD programs, Strengthening data‑protection and cybersecurity regulations for tele‑health services"
"15","45848.43297993056","21 - 30 yrs","Female","Technical Staff","1","Benin city","Neutral","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Strongly Disagree","Agree","Agree","Significant Challenge","Significant Challenge","Major Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Agree","Agree","Agree","Neutral","Neutral","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Training on tele-eye care platforms and software, Virtual patient communication and etiquette","Government subsidies for tele‑eye care infrastructure (e.g., grants or low‑interest loans), Inclusion of tele‑eye care modules in optometry training and CPD programs, Reimbursement of tele‑eye care services under the National Health Insurance Scheme (NHIS)"
"16","45848.43693895833","31 - 40 yrs","Female","Technical Staff","6 months","Lagos","Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Significant Challenge","Moderate Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Significant Challenge","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Yes","Option 1Basic digital literacy (e.g., using computers, smartphones, internet navigation), Legal and ethical considerations in tele-health practice, Clinical decision-making in remote settings","Inclusion of tele‑eye care modules in optometry training and CPD programs"
"17","2025-08-13 11:25:34","41 - 50 Yrs","Female","Optometrist","2-5","South-South","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Major Challenge","Major Challenge","Moderate Challenge","Significant Challenge","Moderate Challenge","Moderate Challenge","Agree","Agree","Agree","Agree","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, National tele-eye care regulatory framework"
"18","2025-08-10 19:38:32","31 - 40 yrs","Female","Technical Staff","1-2","South-East","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Significant Challenge","Major Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Inclusion of tele-eye care in optometry curriculum, Cybersecurity/legal compliance policies"
"19","2025-07-18 12:50:17","21 - 30 yrs","Female","Intern Optometrist","<1","South-West","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Significant Challenge","Major Challenge","Major Challenge","Slight Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, Cybersecurity/legal compliance policies"
"20","2025-07-19 16:24:33","31 - 40 yrs","Male","Optometrist","5-10","South-South","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Significant Challenge","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Broadband/internet expansion policies"
"21","2025-05-22 17:51:21","21 - 30 yrs","Female","Optometrist","2-5","North-Central","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Agree","Moderate Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Strongly Agree","Agree","Agree","Agree","Agree","No","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework"
"22","2025-05-26 18:53:37","31 - 40 yrs","Female","Optometrist","2-5","South-South","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Major Challenge","Significant Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","No","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Inclusion of tele-eye care in optometry curriculum"
"23","2025-08-02 16:07:04","31 - 40 yrs","Female","Technical Staff","<1","South-South","Agree","Strongly Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Neutral","Major Challenge","Significant Challenge","Major Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Agree","Agree","Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Inclusion of tele-eye care in optometry curriculum"
"24","2025-07-19 20:00:27","41 - 50 Yrs","Male","Intern Optometrist","<1","South-South","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Broadband/internet expansion policies"
"25","2025-07-10 15:22:24","31 - 40 yrs","Male","Student Doctor","0","North-Central","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","No","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Clinical decision-making via telehealth","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Inclusion of tele-eye care in optometry curriculum"
"26","2025-05-23 20:22:10","41 - 50 Yrs","Female","Optometrist","5-10","South-South","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Significant Challenge","Slight Challenge","Significant Challenge","Moderate Challenge","Agree","Agree","Agree","Agree","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Inclusion of tele-eye care in optometry curriculum"
"27","2025-06-08 17:21:41","21 - 30 yrs","Female","Optometrist","5-10","North-East","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Disagree","Significant Challenge","Significant Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Significant Challenge","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Broadband/internet expansion policies, Inclusion of tele-eye care in optometry curriculum, Cybersecurity/legal compliance policies"
"28","2025-07-22 06:23:31","51 - 60 yrs","Female","Optometrist","2-5","South-East","Strongly Agree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Significant Challenge","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness, Virtual patient management, Clinical decision-making via telehealth","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Broadband/internet expansion policies, Inclusion of tele-eye care in optometry curriculum"
"29","2025-06-14 15:43:39","31 - 40 yrs","Female","Optometrist","5-10","South-South","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Major Challenge","Major Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Agree","Agree","Neutral","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness, Virtual patient management, Clinical decision-making via telehealth","Government subsidies/infrastructure funding, National tele-eye care regulatory framework, Broadband/internet expansion policies"
"30","2025-08-14 15:56:45","21 - 30 yrs","Female","Intern Optometrist","<1","North-East","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Disagree","Agree","Neutral","Agree","Agree","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Virtual patient management","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Cybersecurity/legal compliance policies"
"31","2025-07-02 17:21:46","41 - 50 Yrs","Female","Technical Staff","1-2","South-East","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Major Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness, Clinical decision-making via telehealth","NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Broadband/internet expansion policies"
"32","2025-06-11 09:55:18","31 - 40 yrs","Female","Optometrist","5-10","North-East","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Disagree","Neutral","Major Challenge","Major Challenge","Significant Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","No","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness, Virtual patient management","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework"
"33","2025-06-07 14:15:06","21 - 30 yrs","Female","Optometrist","2-5","North-West","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Disagree","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Clinical decision-making via telehealth","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Cybersecurity/legal compliance policies"
"34","2025-05-25 06:29:42","21 - 30 yrs","Female","Intern Optometrist","<1","South-West","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Major Challenge","Major Challenge","Major Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Agree","Strongly Agree","Agree","Agree","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, National tele-eye care regulatory framework, Broadband/internet expansion policies, Inclusion of tele-eye care in optometry curriculum"
"35","2025-07-15 19:06:46","21 - 30 yrs","Male","Intern Optometrist","<1","South-South","Neutral","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Agree","Strongly Agree","Agree","Neutral","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework"
"36","2025-08-16 19:16:45","21 - 30 yrs","Male","Intern Optometrist","<1","South-South","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Significant Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Significant Challenge","Moderate Challenge","Strongly Agree","Agree","Agree","Agree","Neutral","Yes","Basic digital literacy, Legal/ethical issues","Government subsidies/infrastructure funding, National tele-eye care regulatory framework, Broadband/internet expansion policies, Inclusion of tele-eye care in optometry curriculum"
"37","2025-07-04 13:21:37","31 - 40 yrs","Male","Optometrist","5-10","North-East","Agree","Agree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Neutral","Agree","Agree","Major Challenge","Major Challenge","Major Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Agree","Agree","Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Clinical decision-making via telehealth","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Inclusion of tele-eye care in optometry curriculum, Cybersecurity/legal compliance policies"
"38","2025-06-12 16:29:31","31 - 40 yrs","Male","Intern Optometrist","<1","North-East","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Significant Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Moderate Challenge","Moderate Challenge","Agree","Agree","Agree","Neutral","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Inclusion of tele-eye care in optometry curriculum"
"39","2025-05-21 10:30:51","51 - 60 yrs","Female","Intern Optometrist","<1","South-South","Agree","Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Significant Challenge","Significant Challenge","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness, Virtual patient management","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Inclusion of tele-eye care in optometry curriculum"
"40","2025-08-10 15:15:25","21 - 30 yrs","Female","Intern Optometrist","<1","South-East","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Significant Challenge","Significant Challenge","Significant Challenge","Moderate Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Agree","Agree","Neutral","Agree","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, National tele-eye care regulatory framework, Cybersecurity/legal compliance policies"
"41","2025-08-17 12:30:44","21 - 30 yrs","Female","Intern Optometrist","<1","South-West","Agree","Neutral","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Significant Challenge","Major Challenge","Moderate Challenge","Moderate Challenge","Significant Challenge","Moderate Challenge","Agree","Agree","Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Legal/ethical issues, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, National tele-eye care regulatory framework, Inclusion of tele-eye care in optometry curriculum"
"42","2025-05-30 10:51:43","21 - 30 yrs","Male","Optometrist",">10","South-East","Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Major Challenge","Major Challenge","Major Challenge","Significant Challenge","Moderate Challenge","Moderate Challenge","Strongly Agree","Agree","Agree","Neutral","Neutral","Yes","Basic digital literacy, Tele-eye care platforms/software, Data privacy/cybersecurity awareness","Government subsidies/infrastructure funding, NHIS reimbursement for tele-eye services, Cybersecurity/legal compliance policies"
