ID,Make,Year,Condition,Mileage,Engine.Size,Fuel,Transmission,Price,Build,Selling.Rate,,,
78,Mercedes-Benz,2014,3,173644,1800,Petrol,Automatic,6090000,Not SUV,122.1199565,,,
79,Toyota,2015,2,79277,4000,Petrol,Automatic,17680000,SUV,137.4128104,,,
80,Lexus,2015,3,88745,3500,Petrol,Automatic,9450000,SUV,137.4128104,,,
82,Toyota,2010,2,158017,3500,Petrol,Automatic,6825000,SUV,130.380255,,,
83,Toyota,2012,2,122807,3500,Petrol,Automatic,8820000,Not SUV,120.3310015,,,
84,Lexus,2004,2,250650,3500,Petrol,Automatic,6032000,SUV,112.8321389,,,
85,Mercedes-Benz,2006,3,243975,3500,Petrol,Automatic,3360000,SUV,105.8547276,,,
86,Lexus,2013,2,192175,3500,Petrol,Automatic,9880000,Not SUV,120.7825672,,,
87,Land Rover,2018,2,30092,3000,Diesel,Automatic,36750000,SUV,193.8541808,,,
88,Lexus,2014,2,77859,3500,Petrol,Automatic,10400000,Not SUV,122.1199565,,,
89,Mercedes-Benz,2012,2,173337,3500,Petrol,Automatic,11025000,SUV,120.3310015,,,
91,Toyota,2015,2,88627,3500,Petrol,Automatic,15600000,Not SUV,137.4128104,,,
92,Lexus,2007,2,141782,4600,Petrol,Automatic,4368000,Not SUV,108.2238082,,,
93,Lexus,2005,2,95873,3300,Petrol,Automatic,5200000,SUV,107.9017948,,,
94,Land Rover,2018,2,30092,3000,Diesel,Automatic,36750000,SUV,193.8541808,,,
96,Toyota,2011,2,215398,3500,Petrol,Automatic,4725000,Not SUV,141.9929683,,,
97,Mercedes-Benz,2010,3,112360,4600,Petrol,Automatic,6240000,SUV,130.380255,,,
98,Toyota,2010,2,170599,3500,Petrol,Automatic,6825000,SUV,130.380255,,,
99,Lexus,2007,2,348830,3500,Petrol,Automatic,4095000,Not SUV,108.2238082,,,
100,Lexus,2010,2,344424,3500,Petrol,Automatic,9048000,SUV,130.380255,,,
101,Lexus,2007,3,170778,3300,Petrol,Automatic,4680000,SUV,108.2238082,,,
102,Toyota,2012,2,122807,3500,Petrol,Automatic,8820000,Not SUV,120.3310015,,,
103,Mercedes-Benz,2014,3,173644,1800,Petrol,Automatic,6090000,Not SUV,122.1199565,,,
105,Mercedes-Benz,2010,3,112360,4600,Petrol,Automatic,6240000,SUV,130.380255,,,
106,Acura,2007,2,233488,3700,Petrol,Automatic,3570000,SUV,108.2238082,,,
107,Toyota,2015,2,88627,3500,Petrol,Automatic,15600000,Not SUV,137.4128104,,,
108,Acura,2011,3,90726,3700,Petrol,Automatic,4200000,SUV,141.9929683,,,
109,Mercedes-Benz,2014,3,152669,4700,Petrol,Automatic,13520000,SUV,122.1199565,,,
110,Toyota,2015,3,47602,3500,Petrol,Automatic,9660000,SUV,137.4128104,,,
111,Toyota,2008,2,132566,4700,Petrol,Automatic,8320000,Not SUV,106.9462997,,,
112,Lexus,2007,2,255839,3500,Petrol,Automatic,5460000,Not SUV,108.2238082,,,
113,Toyota,2013,3,126686,3500,Petrol,Automatic,7280000,SUV,120.7825672,,,
114,Lexus,2010,2,344424,3500,Petrol,Automatic,9048000,SUV,130.380255,,,
115,Lexus,2005,2,95873,3300,Petrol,Automatic,5200000,SUV,107.9017948,,,
116,Land Rover,2013,3,76069,4500,Petrol,Automatic,4200000,SUV,120.7825672,,,
117,Toyota,2007,2,401813,2400,Petrol,Automatic,3885000,Not SUV,108.2238082,,,
118,Lexus,2002,2,119143,3000,Petrol,Automatic,3848000,SUV,103.6416019,,,
119,Land Rover,2011,3,26628,5000,Petrol,Automatic,9360000,SUV,141.9929683,,,
120,Mercedes-Benz,2006,3,231361,5000,Petrol,Automatic,3675000,Not SUV,105.8547276,,,
121,Lexus,2007,2,175135,3500,Petrol,Automatic,4500000,SUV,108.2238082,,,
123,Lexus,2010,3,140073,3500,Petrol,Automatic,4784000,Not SUV,130.380255,,,
124,Toyota,2004,2,294359,2400,Petrol,Automatic,4160000,SUV,112.8321389,,,
126,Mercedes-Benz,2015,2,39662,3500,Petrol,Automatic,14560000,SUV,137.4128104,,,
127,Porsche,2004,2,359713,4500,Petrol,Automatic,4200000,SUV,112.8321389,,,
128,Mercedes-Benz,2010,3,96957,3500,Petrol,Automatic,6240000,SUV,130.380255,,,
129,Toyota,2014,2,65308,2000,Petrol,Automatic,9450000,Not SUV,122.1199565,,,
130,Lexus,2007,2,198969,2500,Petrol,Automatic,4992000,Not SUV,108.2238082,,,
131,Toyota,2007,2,149184,4000,Petrol,Automatic,6448000,SUV,108.2238082,,,
132,Lexus,2009,2,173307,3500,Petrol,Automatic,4500000,Not SUV,129.3582081,,,
133,Toyota,2009,2,208827,2400,Petrol,Automatic,3952000,Not SUV,129.3582081,,,
134,Lexus,2006,2,376865,3500,Petrol,Automatic,4680000,Not SUV,105.8547276,,,
135,Lexus,2014,2,139592,4600,Petrol,Automatic,23920000,SUV,122.1199565,,,
136,Lexus,2008,3,97315,3200,Petrol,Automatic,3640000,Not SUV,106.9462997,,,
137,Lexus,2010,3,140073,3500,Petrol,Automatic,4784000,Not SUV,130.380255,,,
138,Toyota,2015,2,96531,3500,Petrol,Automatic,10290000,Not SUV,137.4128104,,,
139,Acura,2011,3,78613,3700,Petrol,Automatic,6240000,SUV,141.9929683,,,
140,Lexus,2006,2,100763,3000,Petrol,Automatic,3150000,Not SUV,105.8547276,,,
142,Toyota,2007,3,104336,2400,Petrol,Automatic,3328000,SUV,108.2238082,,,
143,Lexus,2007,2,65060,3500,Petrol,AMT,3885000,Not SUV,108.2238082,,,
145,Toyota,2017,2,107748,2500,Petrol,Automatic,12600000,SUV,192.3100693,,,
146,Lexus,2011,2,137902,3000,Petrol,Automatic,4992000,Not SUV,141.9929683,,,
147,Mercedes-Benz,2009,3,121829,4600,Petrol,Automatic,5720000,SUV,129.3582081,,,
148,Mercedes-Benz,2010,3,96957,3500,Petrol,Automatic,6240000,SUV,130.380255,,,
149,Mercedes-Benz,2013,2,232813,4700,Petrol,Automatic,14560000,Not SUV,120.7825672,,,
150,Lexus,2007,2,124511,3500,Petrol,Automatic,4200000,Not SUV,108.2238082,,,
152,Lexus,2015,3,24855,3500,Petrol,Automatic,10920000,SUV,137.4128104,,,
153,Land Rover,2006,2,213515,4400,Petrol,Automatic,3150000,SUV,105.8547276,,,
154,Toyota,2011,3,114388,4000,Petrol,Automatic,10500000,SUV,141.9929683,,,
155,Mercedes-Benz,2008,2,227689,3500,Petrol,Automatic,3885000,Not SUV,106.9462997,,,
156,Toyota,2010,2,236601,2500,Petrol,Automatic,6448000,SUV,130.380255,,,
158,Toyota,2017,2,107748,2500,Petrol,Automatic,12600000,SUV,192.3100693,,,
159,Lexus,2006,2,100763,3000,Petrol,Automatic,3150000,Not SUV,105.8547276,,,
160,Mercedes-Benz,2011,3,112122,4700,Petrol,Automatic,6760000,SUV,141.9929683,,,
161,Lexus,2007,3,170778,3300,Petrol,Automatic,4680000,SUV,108.2238082,,,
162,Lexus,2004,3,98430,4700,Petrol,Automatic,4680000,SUV,112.8321389,,,
163,Toyota,2008,2,93474,3500,Petrol,Automatic,6300000,SUV,106.9462997,,,
164,Toyota,2011,2,211357,2500,Petrol,Automatic,4515000,Not SUV,141.9929683,,,
165,Mercedes-Benz,2015,2,168946,3500,Petrol,Automatic,17680000,SUV,137.4128104,,,
166,Toyota,2015,3,67161,2500,Petrol,Automatic,10400000,SUV,137.4128104,,,
167,Lexus,2007,2,104138,3500,Petrol,Automatic,5928000,SUV,108.2238082,,,
168,Toyota,2010,2,158684,2500,Petrol,Automatic,3780000,Not SUV,130.380255,,,
169,Mercedes-Benz,2012,2,165585,3500,Petrol,Automatic,13520000,SUV,120.3310015,,,
170,Toyota,2008,3,118743,3500,Petrol,Automatic,4784000,SUV,106.9462997,,,
171,Toyota,2010,2,131164,2700,Petrol,Automatic,6090000,SUV,130.380255,,,
172,Toyota,2009,2,168603,2500,Petrol,Automatic,4620000,SUV,129.3582081,,,
173,Lexus,2009,2,246462,3500,Petrol,Automatic,5200000,Not SUV,129.3582081,,,
174,Mercedes-Benz,2006,3,231361,5000,Petrol,Automatic,3675000,Not SUV,105.8547276,,,
175,Land Rover,2014,3,56908,5000,Petrol,Automatic,2.60E+07,SUV,122.1199565,,,
177,Toyota,2009,3,205371,3500,Petrol,Automatic,7072000,SUV,129.3582081,,,
178,Mercedes-Benz,2006,3,380097,5000,Petrol,Automatic,5200000,SUV,105.8547276,,,
179,Mercedes-Benz,2015,2,39662,3500,Petrol,Automatic,14560000,SUV,137.4128104,,,
180,Lexus,2001,2,199731,3000,Petrol,Automatic,3150000,SUV,98.78961463,,,
181,Lexus,2008,2,85901,3500,Petrol,Automatic,3885000,Not SUV,106.9462997,,,
182,Toyota,2005,2,260730,4700,Petrol,Automatic,4992000,SUV,107.9017948,,,
183,Toyota,2007,2,274477,2400,Petrol,Automatic,3640000,Not SUV,108.2238082,,,
184,Toyota,2011,3,114388,4000,Petrol,Automatic,10500000,SUV,141.9929683,,,
185,Toyota,2011,2,166839,2500,Petrol,Automatic,4160000,Not SUV,141.9929683,,,
187,Toyota,2014,2,70649,3500,Petrol,Automatic,8400000,SUV,122.1199565,,,
190,Acura,2011,3,90726,3700,Petrol,Automatic,4200000,SUV,141.9929683,,,
191,Toyota,2013,3,79393,4700,Petrol,Automatic,2.60E+07,SUV,120.7825672,,,
192,Lexus,2004,3,98430,4700,Petrol,Automatic,4680000,SUV,112.8321389,,,
193,Toyota,2010,2,237886,2400,Petrol,Automatic,3675000,Not SUV,130.380255,,,
194,Lexus,2006,3,144513,3300,Petrol,Automatic,3744000,SUV,105.8547276,,,
195,Toyota,2015,3,67161,2500,Petrol,Automatic,10400000,SUV,137.4128104,,,
196,Mercedes-Benz,2016,3,62476,3500,Petrol,Automatic,15750000,Not SUV,169.7856929,,,
197,Lexus,2008,3,224605,4600,Petrol,Automatic,4725000,Not SUV,106.9462997,,,
198,Toyota,2016,2,149753,2500,Hybrid,Automatic,5985000,Not SUV,169.7856929,,,
199,Toyota,2013,2,169183,2700,Petrol,Automatic,8610000,Not SUV,120.7825672,,,
200,Mercedes-Benz,2013,2,222344,3500,Petrol,Automatic,8925000,SUV,120.7825672,,,
201,Toyota,2011,2,93785,3000,Petrol,Automatic,8528000,SUV,141.9929683,,,
202,Mercedes-Benz,2010,3,299309,4600,Petrol,Automatic,5775000,SUV,130.380255,,,
203,Toyota,2009,2,137397,2400,Petrol,Automatic,3952000,Not SUV,129.3582081,,,
204,Acura,2011,3,178050,3700,Petrol,Automatic,5200000,SUV,141.9929683,,,
205,Toyota,2015,2,218139,2700,Petrol,Automatic,8925000,SUV,137.4128104,,,
206,Mercedes-Benz,2008,2,175183,3000,Petrol,Automatic,4680000,Not SUV,106.9462997,,,
207,Toyota,2010,2,158684,2500,Petrol,Automatic,3780000,Not SUV,130.380255,,,
208,Mercedes-Benz,2014,2,83189,2000,Petrol,Automatic,11232000,Not SUV,122.1199565,,,
209,Land Rover,2006,3,113872,4400,Petrol,Automatic,3120000,Not SUV,105.8547276,,,
210,Mercedes-Benz,2007,3,110228,4500,Petrol,Automatic,5200000,SUV,108.2238082,,,
211,Toyota,2011,2,257742,3500,Petrol,Automatic,4935000,Not SUV,141.9929683,,,
212,Toyota,2014,2,86077,3500,Petrol,Automatic,14700000,SUV,122.1199565,,,
213,Toyota,2012,3,76334,3500,Petrol,Automatic,5565000,SUV,120.3310015,,,
214,Lexus,2014,2,139592,4600,Petrol,Automatic,23920000,SUV,122.1199565,,,
215,Mercedes-Benz,2011,3,193201,3500,Petrol,Automatic,5616000,Not SUV,141.9929683,,,
216,Toyota,2007,3,104336,2400,Petrol,Automatic,3328000,SUV,108.2238082,,,
217,Mercedes-Benz,2006,2,239529,5000,Petrol,Automatic,4515000,SUV,105.8547276,,,
218,Land Rover,2006,2,118872,3500,Petrol,Automatic,3150000,SUV,105.8547276,,,
219,Toyota,2014,2,89208,2500,Petrol,Automatic,5250000,Not SUV,122.1199565,,,
220,Lexus,2008,3,186699,3500,Petrol,Automatic,3640000,Not SUV,106.9462997,,,
221,Lexus,2007,3,156579,3500,Petrol,Automatic,5200000,SUV,108.2238082,,,
222,Lexus,2014,3,69129,4600,Petrol,Automatic,18375000,SUV,122.1199565,,,
224,Toyota,2010,3,106427,3500,Petrol,Automatic,6968000,SUV,130.380255,,,
225,Toyota,2016,2,55055,2500,Petrol,Automatic,6720000,Not SUV,169.7856929,,,
226,Toyota,2007,2,401813,2400,Petrol,Automatic,3885000,Not SUV,108.2238082,,,
227,Lexus,2008,2,323768,3500,Petrol,Automatic,3832500,Not SUV,106.9462997,,,
228,Lincoln,2019,3,35976,2000,Petrol,Automatic,17850000,SUV,187.8622677,,,
229,Toyota,2017,3,101979,3500,Petrol,Automatic,15600000,Not SUV,192.3100693,,,
230,Toyota,2015,2,40962,2500,Petrol,Automatic,10400000,Not SUV,137.4128104,,,
231,Toyota,2011,2,142689,2400,Petrol,Automatic,4680000,Not SUV,141.9929683,,,
232,Mercedes-Benz,2012,3,99661,3500,Petrol,Automatic,7280000,Not SUV,120.3310015,,,
234,Mercedes-Benz,2010,2,242841,3500,Petrol,Automatic,6615000,SUV,130.380255,,,
235,Lexus,2012,2,135295,3500,Petrol,Automatic,7072000,Not SUV,120.3310015,,,
236,Mercedes-Benz,2013,3,90604,4700,Petrol,Automatic,15600000,SUV,120.7825672,,,
237,Land Rover,2006,3,137818,4000,Petrol,Automatic,3328000,SUV,105.8547276,,,
238,Lexus,2007,3,177336,3500,Petrol,Automatic,3650000,SUV,108.2238082,,,
239,Toyota,2010,2,159981,3500,Petrol,Automatic,7560000,SUV,130.380255,,,
241,Lexus,2012,2,134949,3500,Petrol,Automatic,10192000,SUV,120.3310015,,,
242,Toyota,2008,2,197403,3500,Petrol,Automatic,4200000,Not SUV,106.9462997,,,
244,Toyota,2005,2,260730,4700,Petrol,Automatic,4992000,SUV,107.9017948,,,
245,Lexus,2009,2,246462,3500,Petrol,Automatic,5200000,Not SUV,129.3582081,,,
246,Mercedes-Benz,2014,3,51111,2000,Petrol,Automatic,8320000,Not SUV,122.1199565,,,
247,Mercedes-Benz,2017,3,33853,3000,Petrol,Automatic,33280000,SUV,192.3100693,,,
248,Toyota,2015,2,150157,2700,Petrol,Automatic,10400000,SUV,137.4128104,,,
249,Lexus,2007,2,175836,3500,Petrol,Automatic,4680000,Not SUV,108.2238082,,,
250,Toyota,2010,2,214972,2500,Petrol,Automatic,3675000,Not SUV,130.380255,,,
251,Mercedes-Benz,2012,2,165585,3500,Petrol,Automatic,13520000,SUV,120.3310015,,,
252,Land Rover,2006,3,137818,4000,Petrol,Automatic,3328000,SUV,105.8547276,,,
253,Toyota,2017,3,101979,3500,Petrol,Automatic,15600000,Not SUV,192.3100693,,,
254,Lexus,2001,2,199731,3000,Petrol,Automatic,3150000,SUV,98.78961463,,,
255,Lexus,2007,2,110621,2500,Petrol,Automatic,4095000,Not SUV,108.2238082,,,
256,GMC,2008,3,167643,3600,Petrol,Automatic,3360000,SUV,106.9462997,,,
257,Mercedes-Benz,2015,2,111697,3200,Petrol,Automatic,11550000,Not SUV,137.4128104,,,
258,Lexus,2005,2,184460,3000,Petrol,Automatic,3675000,Not SUV,107.9017948,,,
259,Lexus,2007,3,156579,3500,Petrol,Automatic,5200000,SUV,108.2238082,,,
260,Toyota,2009,2,176951,2700,Petrol,Automatic,6300000,SUV,129.3582081,,,
261,Toyota,2011,2,211357,2500,Petrol,Automatic,4515000,Not SUV,141.9929683,,,
262,Acura,2010,2,147282,3700,Petrol,Automatic,9360000,SUV,130.380255,,,
263,Lexus,2010,3,203171,4600,Petrol,Automatic,13520000,SUV,130.380255,,,
264,Mercedes-Benz,2014,2,33820,3500,Petrol,Automatic,11440000,Not SUV,122.1199565,,,
265,Lexus,2007,2,158117,3500,Petrol,Automatic,3675000,Not SUV,108.2238082,,,
267,Toyota,2009,2,127674,2700,Petrol,Automatic,7140000,Not SUV,129.3582081,,,
268,Mercedes-Benz,2009,3,100337,4600,Petrol,Automatic,4472000,SUV,129.3582081,,,
269,Toyota,2014,2,40470,4000,Petrol,Automatic,2.60E+07,SUV,122.1199565,,,
270,Toyota,2015,3,37591,3500,Petrol,Automatic,12480000,SUV,137.4128104,,,
271,Land Rover,2012,3,22281,4900,Petrol,Automatic,8320000,SUV,120.3310015,,,
272,Toyota,2011,2,185047,2500,Petrol,Automatic,4200000,Not SUV,141.9929683,,,
273,Toyota,2012,2,170038,2400,Petrol,Automatic,5250000,Not SUV,120.3310015,,,
274,Mercedes-Benz,2006,2,239529,5000,Petrol,Automatic,4515000,SUV,105.8547276,,,
276,Mercedes-Benz,2014,2,83189,2000,Petrol,Automatic,11232000,Not SUV,122.1199565,,,
277,Toyota,2018,2,106543,2800,Petrol,Automatic,13520000,Not SUV,193.8541808,,,
278,Toyota,2008,2,86802,2400,Petrol,Automatic,3045000,Not SUV,106.9462997,,,
280,Toyota,2013,2,195785,3500,Petrol,Automatic,10400000,SUV,120.7825672,,,
281,Toyota,2008,3,155618,2400,Petrol,Automatic,3016000,SUV,106.9462997,,,
283,Lexus,2017,2,26250,3500,Petrol,Automatic,23920000,SUV,192.3100693,,,
284,Lexus,2010,2,193624,3500,Petrol,Automatic,6032000,Not SUV,130.380255,,,
285,Lexus,2005,2,124007,3300,Petrol,Automatic,3150000,Not SUV,107.9017948,,,
286,Toyota,2015,2,261250,2500,Petrol,Automatic,6300000,Not SUV,137.4128104,,,
287,Mercedes-Benz,2014,3,51111,2000,Petrol,Automatic,8320000,Not SUV,122.1199565,,,
288,Mercedes-Benz,2018,2,115896,3500,Petrol,Automatic,24150000,SUV,193.8541808,,,
289,Mercedes-Benz,2004,2,204436,2600,Petrol,Automatic,3675000,Not SUV,112.8321389,,,
290,Mercedes-Benz,2012,2,280554,3500,Petrol,Automatic,9360000,Not SUV,120.3310015,,,
291,Toyota,2012,2,373365,2500,Petrol,Automatic,4725000,Not SUV,120.3310015,,,
292,Mercedes-Benz,2018,2,56263,3000,Petrol,Automatic,5.20E+07,SUV,193.8541808,,,
293,Mercedes-Benz,2007,3,110228,4500,Petrol,Automatic,5200000,SUV,108.2238082,,,
294,Toyota,2009,2,104917,2400,Petrol,Automatic,3465000,Not SUV,129.3582081,,,
295,Mercedes-Benz,2013,2,225174,3500,Petrol,Automatic,13520000,SUV,120.7825672,,,
296,Lexus,2007,2,203757,3500,Petrol,Automatic,4576000,Not SUV,108.2238082,,,
297,Lexus,2005,2,123282,3000,Petrol,Automatic,3150000,Not SUV,107.9017948,,,
298,Toyota,2012,2,172079,2500,Petrol,Automatic,5250000,Not SUV,120.3310015,,,
299,Toyota,2015,3,47602,3500,Petrol,Automatic,9660000,SUV,137.4128104,,,
300,Toyota,2017,2,78320,2500,Petrol,Automatic,7035000,Not SUV,192.3100693,,,
301,Toyota,2009,2,104917,2400,Petrol,Automatic,3465000,Not SUV,129.3582081,,,
302,Lexus,2007,2,203757,3500,Petrol,Automatic,4576000,Not SUV,108.2238082,,,
303,Toyota,2011,2,211357,2500,Petrol,Automatic,4515000,Not SUV,141.9929683,,,
304,Toyota,2014,2,115296,3500,Petrol,Automatic,15600000,SUV,122.1199565,,,
305,Lexus,2008,3,142273,3500,Petrol,Automatic,4680000,SUV,106.9462997,,,
306,Land Rover,2018,2,59656,3000,Diesel,Automatic,4.20E+07,SUV,193.8541808,,,
307,Mercedes-Benz,2009,3,100337,4600,Petrol,Automatic,4472000,SUV,129.3582081,,,
308,Toyota,2011,2,145489,2500,Petrol,Automatic,3885000,Not SUV,141.9929683,,,
309,Toyota,2019,2,63646,2500,Petrol,Automatic,16800000,SUV,187.8622677,,,
310,Mercedes-Benz,2004,2,204436,2600,Petrol,Automatic,3675000,Not SUV,112.8321389,,,
311,Land Rover,2006,2,118872,3500,Petrol,Automatic,3150000,SUV,105.8547276,,,
312,Toyota,2015,2,150157,2700,Petrol,Automatic,10400000,SUV,137.4128104,,,
313,Mercedes-Benz,2015,3,61515,3500,Petrol,Automatic,14560000,SUV,137.4128104,,,
314,Toyota,2012,3,47180,2700,Petrol,Automatic,14560000,SUV,120.3310015,,,
315,Toyota,2011,2,185047,2500,Petrol,Automatic,4200000,Not SUV,141.9929683,,,
316,Toyota,2009,2,127674,2700,Petrol,Automatic,7140000,Not SUV,129.3582081,,,
317,Lexus,2007,2,110621,2500,Petrol,Automatic,4095000,Not SUV,108.2238082,,,
318,Lexus,2008,2,73213,2500,Petrol,Automatic,3360000,Not SUV,106.9462997,,,
319,Lexus,2004,2,272206,4700,Petrol,Automatic,11440000,SUV,112.8321389,,,
320,Lexus,2008,2,227424,2500,Petrol,Automatic,4472000,Not SUV,106.9462997,,,
322,Lexus,2006,3,160209,2500,Petrol,Automatic,4160000,Not SUV,105.8547276,,,
323,Mercedes-Benz,2017,2,62879,2000,Petrol,Automatic,13650000,Not SUV,192.3100693,,,
324,Mercedes-Benz,2011,3,101316,3500,Petrol,Automatic,5720000,Not SUV,141.9929683,,,
325,Lexus,2006,3,210014,4700,Petrol,Automatic,4160000,SUV,105.8547276,,,
326,Mercedes-Benz,2015,3,61515,3500,Petrol,Automatic,14560000,SUV,137.4128104,,,
327,Toyota,2015,3,37591,3500,Petrol,Automatic,12480000,SUV,137.4128104,,,
328,Mercedes-Benz,2009,2,232438,3500,Petrol,Automatic,6300000,SUV,129.3582081,,,
329,Toyota,2011,2,317231,2400,Petrol,Automatic,4472000,Not SUV,141.9929683,,,
330,Toyota,2012,2,325938,2500,Petrol,Automatic,5250000,Not SUV,120.3310015,,,
331,Mercedes-Benz,2012,2,148637,3500,Petrol,Automatic,1.30E+07,SUV,120.3310015,,,
332,Toyota,2009,3,149599,3500,Petrol,Automatic,5200000,SUV,129.3582081,,,
333,Toyota,2015,2,354563,2400,Petrol,Manual,15750000,Not SUV,137.4128104,,,
334,Lexus,2007,2,260907,3500,Petrol,Automatic,3885000,Not SUV,108.2238082,,,
335,Toyota,2011,2,89330,3500,Petrol,Automatic,7875000,Not SUV,141.9929683,,,
336,Acura,2007,2,196814,3700,Petrol,Automatic,3570000,SUV,108.2238082,,,
338,Lexus,2006,3,157518,3300,Petrol,Automatic,4160000,SUV,105.8547276,,,
339,Toyota,2016,2,149753,2500,Hybrid,Automatic,5985000,Not SUV,169.7856929,,,
341,Acura,2008,3,174107,3700,Petrol,Automatic,3744000,SUV,106.9462997,,,
342,Acura,2007,2,142822,2300,Petrol,Automatic,3570000,Not SUV,108.2238082,,,
343,Mercedes-Benz,2011,2,203172,3500,Petrol,Automatic,4410000,Not SUV,141.9929683,,,
344,Land Rover,2008,2,418613,4400,Petrol,Automatic,5250000,SUV,106.9462997,,,
345,Toyota,2013,3,103941,2700,Petrol,Automatic,12480000,SUV,120.7825672,,,
347,Lincoln,2008,2,186615,3500,Petrol,Automatic,3990000,SUV,106.9462997,,,
348,Mercedes-Benz,2010,2,149647,3500,Petrol,Automatic,8112000,SUV,130.380255,,,
349,Mercedes-Benz,2011,3,73624,3500,Petrol,Automatic,5250000,SUV,141.9929683,,,
350,Land Rover,2013,3,70430,2000,Petrol,Automatic,9360000,SUV,120.7825672,,,
351,Toyota,2011,2,244495,3500,Petrol,Automatic,6090000,Not SUV,141.9929683,,,
352,Toyota,2013,2,135027,2500,Petrol,Automatic,5616000,Not SUV,120.7825672,,,
354,Toyota,2006,2,389832,3500,Petrol,Automatic,3045000,Not SUV,105.8547276,,,
355,Mercedes-Benz,2009,2,232438,3500,Petrol,Automatic,6300000,SUV,129.3582081,,,
358,Land Rover,2008,3,178780,4700,Petrol,Automatic,3150000,SUV,106.9462997,,,
359,Lexus,2002,2,132618,3000,Petrol,Automatic,3328000,Not SUV,103.6416019,,,
361,Mercedes-Benz,2010,3,220223,3000,Petrol,Automatic,4680000,Not SUV,130.380255,,,
362,Toyota,2009,2,124609,3500,Petrol,Automatic,5775000,SUV,129.3582081,,,
363,Land Rover,2013,3,76069,4500,Petrol,Automatic,4200000,SUV,120.7825672,,,
364,Lexus,2004,2,158812,3300,Petrol,Automatic,5408000,Not SUV,112.8321389,,,
365,Lexus,2003,2,239713,4700,Petrol,Automatic,5565000,SUV,120.8084383,,,
366,Toyota,2015,2,147257,2500,Petrol,Automatic,6615000,Not SUV,137.4128104,,,
367,Lexus,2010,3,114626,3500,Hybrid,Automatic,6760000,SUV,130.380255,,,
368,Lexus,2007,2,151892,3500,Petrol,Automatic,5200000,Not SUV,108.2238082,,,
369,Toyota,2016,2,61068,2500,Petrol,Automatic,7245000,Not SUV,169.7856929,,,
370,Land Rover,2016,2,70973,2000,Petrol,Automatic,11550000,Not SUV,169.7856929,,,
371,Lexus,2008,2,155216,3500,Petrol,Automatic,4888000,Not SUV,106.9462997,,,
372,Toyota,2011,3,235681,3500,Petrol,Automatic,8528000,Not SUV,141.9929683,,,
374,Toyota,2012,2,125026,3500,Petrol,Automatic,8715000,SUV,120.3310015,,,
376,Toyota,2011,2,244495,3500,Petrol,Automatic,6090000,Not SUV,141.9929683,,,
377,Mercedes-Benz,2020,2,20106,2000,Petrol,Automatic,58800000,SUV,220.9049263,,,
378,Toyota,2015,2,354563,2400,Petrol,Manual,15750000,Not SUV,137.4128104,,,
379,Toyota,2014,3,129798,3000,Petrol,Automatic,4784000,Not SUV,122.1199565,,,
380,Toyota,2010,3,161209,2700,Petrol,Automatic,5408000,Not SUV,130.380255,,,
381,Mercedes-Benz,2011,3,73624,3500,Petrol,Automatic,5250000,SUV,141.9929683,,,
382,Lexus,2003,2,239713,4700,Petrol,Automatic,5565000,SUV,120.8084383,,,
384,Lexus,2004,3,366454,3300,Petrol,Automatic,3432000,Not SUV,112.8321389,,,
