,MONTHS,stations,pH,Electrical Conductivity,TDS,Suspended Solid,Turbidity,Dissovled Oxygen,B.O.D,Alkalinity,Nitrate,Ammonium-N,Phosphate,Calcium,Magnesium,Iron,Zinc,Copper,Manganese,Nickel,Lead,Cadmium,AMO,METRO,SMX,TRM,CIPRO,OFLOX
2-Oct,Oct,ST2,5.6,20,10.6,82,135,5.8,3.4,14,0.29,0.71,0.839,2.41,1.46,1.72,0.78,0.47,0.085,0.042,0.011,0,0.164,0.096,0.133,0.000,0.085,0.106
2-Nov,Nov,ST2,4.4,60,31.8,14,21,3.6,1.9,10,0.686,0.071,0.127,1.6,0.49,1.95,0.83,0.47,0.084,0.061,0.013,0,0.151,0.530,0.115,0.000,0.128,0.135
2-Dec,Dec,ST2,6.7,30,15,9,7,6.2,3.1,14,1.248,0.071,0.134,2.41,4.86,1.16,0.71,0.52,0.068,0.041,0.014,0,3.663,0.000,2.701,0.000,0.454,0.276
2-Jan,Jan,ST2,6.7,30,15,9,7,6.2,4.6,14,0.248,0.071,0.127,1.6,0.49,1.54,0.82,0.52,0.085,0.047,0.012,0,0.000,0.000,0.255,0.000,0.086,0.097
2-Feb,Feb,ST2,6.4,20,10,11,16,4.1,1.9,12,0.121,0.101,0.21,2.41,1.46,1.54,0.89,0.52,0.091,0.054,0.016,0,0.254,0.114,0.154,0.000,0.063,0.059
2-Mar,Mar,ST2,6.1,30,15,12,15,3.5,2.1,12,0.115,0.145,0.22,3.21,0.49,1.63,0.83,0.51,0.091,0.054,0.016,0,0.675,0.488,0.266,0.044,0.096,0.088
2-Apr,Apr,ST2,6.5,40,20,30,40,4.5,1.1,10,0.075,0.023,0.24,2.41,0.49,1.58,0.85,0.47,0.076,0.046,0.014,0,0.137,0.088,0.143,0.000,0.065,0.048
2-May,May,ST2,6.6,50,25,32,43,3.1,2.7,10,0.88,0.12,0.33,4.81,0.97,1.47,0.83,0.61,0.091,0.054,0.016,0,0.127,0.079,0.068,0.063,0.043,0.065
2-Jun,Jun,ST2,6.5,18,9,38,57,3.3,2.8,10,0.14,0.078,0.62,4.01,1.46,1.68,0.92,0.53,0.095,0.059,0.017,0,0.289,0.174,0.127,0.000,0.069,0.078
2-Jul,Jul,ST2,5.6,14,7,17,25,4.5,2.4,16,0.22,0.101,0.45,3.21,0.49,1.66,0.87,0.43,0.082,0.049,0.017,0,0.187,0.083,0.118,0.000,0.049,0.065
3-Aug,Aug,ST3,5.5,40,20,13,20,1.2,3,16,0.189,0.21,0.165,1.6,3.89,2.51,1.07,0.74,0.091,0.056,0.018,0,0.248,0.028,0.059,0.000,0.060,0.062
3-Sep,Sep,ST3,6.4,30,15.9,13,24,1.3,4.1,12,0.224,0.48,0.18,1.6,5.83,2.32,1.24,0.91,0.092,0.051,0.021,0,0.277,0.046,0.053,0.221,0.077,0.085
3-Oct,Oct,ST3,5.6,20,10.6,78,127,5.2,3.2,14,0.283,0.71,0.777,0.8,3.89,0.73,0.32,0.22,0.051,0.027,0.007,0,0.189,0.083,0.057,0.000,0.068,0.090
3-Nov,Nov,ST3,4.5,50,26.5,15,20,5.2,4.1,12,0.701,0.053,0.149,1.6,2.43,0.95,0.51,0.22,0.046,0.038,0.007,0,1.979,1.517,0.000,0.000,0.140,0.110
3-Dec,Dec,ST3,6.7,30,15,10,0,4.8,2.9,12,1.252,0.053,0.157,2.41,1.95,0.87,0.47,0.35,0.042,0.032,0.01,0,0.856,0.000,0.000,0.000,0.117,0.105
3-Jan,Jan,ST3,6.7,30,15,10,0,4.8,2.2,12,0.252,0.053,0.149,1.6,2.43,0.85,0.32,0.25,0.051,0.031,0.008,0,0.856,0.542,0.165,0.000,0.107,0.118
3-Feb,Feb,ST3,6.3,40,20,12,9,2.9,2.2,12,0.232,0.043,0.189,4.81,0.97,0.85,0.32,0.25,0.051,0.031,0.008,0,0.856,0.542,0.165,0.000,0.107,0.037
3-Mar,Mar,ST3,5.8,40,20,15,8,3.1,2.7,10,0.255,0.051,0.211,4.01,1.95,0.75,0.32,0.21,0.055,0.031,0.008,0,0.377,0.266,0.113,0.075,0.066,0.049
3-Apr,Apr,ST3,6.5,110,,21,27,2.4,2.3,32,0.025,0.012,0.28,4.81,1.91,0.72,0.33,0.25,0.042,0.031,0.007,0,0.118,0.068,0.085,0.000,0.042,0.038
3-May,May,ST3,6.5,30,15,20,14,4.8,2.1,84,0.44,0.12,0.11,2.41,0.97,0.75,0.32,0.21,0.055,0.035,0.006,0,0.087,0.165,0.039,0.049,0.031,0.045
3-Jun,Jun,ST3,6.3,60,30,20,33,2.9,2,14,0.19,0.033,0.82,11.22,2.92,0.87,0.32,0.29,0.059,0.037,0.008,0,0.127,0.115,0.079,0.000,0.037,0.051
3-Jul,Jul,ST3,5.5,120,60,46,71,4.5,2.8,20,0.3,0.1,0.81,7.21,2.43,0.75,0.35,0.32,0.047,0.032,0.009,0,0.077,0.059,0.070,0.067,0.054,0.039
4-Aug,Aug,ST4,6.2,680,340,46,71,0.5,4.9,62,0.221,0.312,2.976,7.21,2.43,2.54,1.13,0.76,0.087,0.059,0.014,0,0.201,0.021,0.046,0.000,0.041,0.052
4-Sep,Sep,ST4,7.9,360,190.8,48,81,1.2,2.9,184,0.282,0.557,1.476,16.03,5.35,2.36,1.27,0.94,0.087,0.054,0.019,0,0.194,0.040,0.048,0.387,0.068,0.077
4-Oct,Oct,ST4,5.7,30,15.9,35,52,2.6,2.4,16,0.395,0.591,0.353,2.41,1.46,2.86,1.24,0.75,0.23,0.071,0.028,0,0.459,0.128,0.078,0.000,0.084,0.122
4-Nov,Nov,ST4,4.9,90,47.7,12,14,2.9,5.9,10,0.895,0.105,0.19,2.41,2.94,2.96,1.34,0.75,0.18,0.083,0.027,0.011,0.186,0.941,0.107,0.000,0.103,0.209
4-Dec,Dec,ST4,6.4,30,15,10,10,3.8,1.9,42,1.063,0.105,0.253,1.6,2.43,2.89,0.98,0.67,0.094,0.051,0.017,0.007,2.208,0.000,0.250,0.000,0.197,0.119
4-Jan,Jan,ST4,6.9,60,30,9,2,3.3,3.1,40,0.282,0.139,0.36,5.61,1.95,2.93,1.12,0.83,0.23,0.082,0.024,0,1.227,0.865,0.688,0.000,0.453,0.155
4-Feb,Feb,ST4,6.5,70,35,9,2,3.1,2.8,40,0.212,0.141,0.391,5.61,1.95,2.93,1.12,0.83,0.23,0.082,0.024,0,0.468,0.528,0.377,0.000,0.266,0.067
4-Mar,Mar,ST4,6.8,120,60,46,52,2.4,1.9,26,0.911,0.143,1.01,7.21,2.92,2.97,1.17,0.72,0.39,0.082,0.021,0,0.988,0.787,0.589,0.098,0.279,0.118
4-Apr,Apr,ST4,6.8,480,240,65,69,1.1,2.2,30,0.911,0.145,1.01,8.02,3.89,2.89,1.52,0.8,0.27,0.076,0.019,0,0.645,0.377,0.277,0.000,0.087,0.069
4-May,May,ST4,6.9,410,205,69,75,1.1,8.9,20,1.43,0.149,1.92,7.21,2.92,2.69,1.21,0.72,0.32,0.079,0.018,0,0.645,0.476,0.276,0.086,0.079,0.060
4-Jun,Jun,ST4,6.6,220,110,75,91,0.3,8.2,148,2.11,0.155,2.51,15.23,4.86,2.64,1.17,0.72,0.39,0.082,0.021,0,0.631,0.376,0.397,0.000,0.098,0.115
4-Jul,Jul,ST4,6.1,260,130,90,110,1.5,5.9,40,3.11,0.158,4.91,7.21,2.92,2.85,1.61,0.75,0.35,0.072,0.026,0,0.629,0.276,0.256,0.087,0.097,0.084
