MMM-YY,Emp_ID,Age,Gender,City,Education_Level,Salary,Dateofjoining,LastWorkingDate,Year of Joining,year code,Month of joining,Work_len_quaters,Joining Designation,Designation,Promotions,Quarterly Rating
7/1/2017,103,26,Female,C28,Bachelor,68913,11/30/2016,7/4/2017,2016,6,11,2,2,2,0,1
1/1/2016,105,38,Male,C4,College,67931,9/18/2015,1/6/2016,2015,5,9,1,1,1,0,1
8/1/2016,106,34,Female,C22,College,57671,5/27/2013,8/2/2016,2013,3,5,13,1,3,2,2
11/1/2017,107,35,Male,C9,Master,102142,12/12/2016,11/27/2017,2016,6,12,4,3,3,0,1
6/1/2017,108,38,Male,C22,Master,121259,1/9/2017,6/2/2017,2017,7,1,2,3,3,0,1
2/1/2017,110,32,Female,C16,Bachelor,32663,9/19/2016,2/17/2017,2016,6,9,2,1,1,0,1
9/1/2016,111,52,Male,C13,Bachelor,73769,12/13/2013,9/17/2016,2013,3,12,11,2,3,1,1
10/1/2016,113,42,Female,C10,College,47160,6/23/2016,10/17/2016,2016,6,6,1,1,1,0,1
9/1/2016,116,22,Male,C11,College,16477,12/4/2015,9/23/2016,2015,5,12,3,1,1,0,1
9/1/2017,118,42,Female,C27,College,67904,3/10/2017,9/15/2017,2017,7,3,2,3,3,0,1
3/1/2017,119,32,Female,C29,Bachelor,71000,11/16/2016,3/24/2017,2016,6,11,1,3,3,0,1
4/1/2017,120,27,Male,C14,Master,114258,9/28/2016,3/29/2017,2016,6,9,2,3,3,0,1
5/1/2017,121,33,Female,C13,Master,58885,3/7/2017,5/24/2017,2017,7,3,1,3,3,0,1
9/1/2016,123,44,Male,C24,Bachelor,41401,10/7/2015,9/23/2016,2015,5,10,4,1,1,0,1
7/1/2016,125,33,Female,C10,Master,30847,7/29/2015,7/21/2016,2015,5,7,4,1,1,0,1
3/1/2016,127,33,Male,C28,Bachelor,84085,5/4/2015,3/1/2016,2015,5,5,3,3,3,0,1
8/1/2017,130,38,Male,C28,Bachelor,39990,1/17/2017,7/29/2017,2017,7,1,2,2,2,0,1
11/1/2016,131,38,Female,C19,Bachelor,79086,10/21/2010,11/11/2016,2010,0,10,24,2,3,1,1
7/1/2017,132,27,Male,C20,Master,43165,5/1/2017,7/20/2017,2017,7,5,1,2,2,0,1
5/1/2016,133,44,Female,C23,Master,46858,7/30/2015,5/23/2016,2015,5,7,3,1,1,0,1
1/1/2016,136,37,Female,C10,College,47009,10/2/2015,1/5/2016,2015,5,10,1,1,1,0,1
1/1/2016,138,48,Male,C21,Master,34827,1/26/2015,1/6/2016,2015,5,1,4,1,1,0,1
12/1/2016,139,32,Male,C14,Bachelor,51850,10/31/2016,12/5/2016,2016,6,10,0,2,2,0,1
11/1/2017,141,35,Male,C22,Bachelor,65901,7/10/2017,10/31/2017,2017,7,7,1,2,2,0,1
2/1/2016,142,24,Male,C16,Bachelor,29807,6/10/2015,2/8/2016,2015,5,6,3,1,1,0,1
3/1/2016,143,40,Male,C12,Master,24150,5/1/2015,2/27/2016,2015,5,5,3,1,1,0,1
11/1/2016,144,27,Male,C28,Master,21933,8/19/2016,11/24/2016,2016,6,8,1,1,1,0,1
6/1/2017,145,35,Male,C13,Bachelor,75112,2/13/2017,6/22/2017,2017,7,2,1,3,3,0,3
10/1/2016,147,36,Male,C9,Bachelor,85172,7/20/2016,10/1/2016,2016,6,7,1,2,2,0,1
7/1/2017,149,34,Female,C20,College,61913,4/17/2017,7/22/2017,2017,7,4,1,3,3,0,1
1/1/2017,151,30,Male,C15,College,89602,9/15/2016,1/21/2017,2016,6,9,1,4,4,0,1
6/1/2016,152,31,Male,C17,College,31547,6/3/2015,6/15/2016,2015,5,6,4,1,2,1,2
11/1/2016,153,38,Female,C22,Bachelor,148588,10/14/2015,11/19/2016,2015,5,10,4,5,5,0,1
10/1/2017,154,30,Male,C21,Bachelor,47211,7/3/2017,10/18/2017,2017,7,7,1,1,1,0,1
2/1/2016,155,27,Male,C26,Bachelor,118363,9/10/2014,2/26/2016,2014,4,9,6,2,3,1,2
3/1/2016,156,41,Female,C9,Bachelor,41046,7/1/2015,2/29/2016,2015,5,7,3,1,1,0,1
9/1/2017,158,26,Male,C22,Bachelor,45832,7/3/2017,9/23/2017,2017,7,7,1,1,1,0,1
2/1/2017,159,44,Female,C4,Bachelor,30121,7/21/2014,2/17/2017,2014,4,7,10,1,1,0,1
4/1/2016,161,38,Male,C25,Master,35793,6/19/2015,3/29/2016,2015,5,6,3,1,1,0,1
1/1/2017,162,36,Male,C2,Bachelor,100064,10/31/2016,12/30/2016,2016,6,10,1,3,3,0,1
9/1/2017,163,29,Male,C6,College,25731,5/8/2017,9/27/2017,2017,7,5,2,1,1,0,1
11/1/2017,164,37,Female,C26,College,106171,6/17/2016,11/27/2017,2016,6,6,6,1,4,3,1
1/1/2016,165,25,Female,C21,Master,76307,10/16/2015,1/15/2016,2015,5,10,1,2,2,0,1
5/1/2016,167,26,Male,C18,Bachelor,35283,3/2/2015,5/6/2016,2015,5,3,5,1,1,0,1
12/1/2016,169,34,Male,C14,Master,38409,5/1/2015,11/29/2016,2015,5,5,6,2,2,0,1
11/1/2016,170,35,Male,C7,Master,91458,7/4/2016,11/23/2016,2016,6,7,2,3,3,0,1
7/1/2016,171,44,Female,C23,Bachelor,56242,8/24/2015,7/21/2016,2015,5,8,4,2,2,0,1
7/1/2016,172,41,Female,C6,Master,101395,11/7/2014,6/29/2016,2014,4,11,7,2,3,1,1
5/1/2016,174,39,Female,C21,Bachelor,22065,7/27/2015,5/4/2016,2015,5,7,3,1,1,0,1
5/1/2016,175,31,Male,C13,College,27889,9/22/2015,5/4/2016,2015,5,9,2,1,1,0,1
8/1/2017,176,34,Male,C15,College,21276,5/4/2017,7/29/2017,2017,7,5,1,1,1,0,1
6/1/2016,177,31,Male,C4,Bachelor,43053,12/14/2015,6/10/2016,2015,5,12,2,1,1,0,1
9/1/2016,178,23,Female,C7,College,36637,9/11/2015,9/26/2016,2015,5,9,4,2,2,0,1
5/1/2016,179,26,Female,C11,Master,24490,5/26/2015,5/4/2016,2015,5,5,4,1,1,0,1
11/1/2016,180,34,Male,C29,Bachelor,95694,6/26/2015,11/15/2016,2015,5,6,6,2,4,2,1
7/1/2017,182,32,Male,C22,Master,25832,1/13/2017,7/4/2017,2017,7,1,2,1,1,0,1
5/1/2017,183,26,Female,C23,Master,43263,11/3/2016,5/25/2017,2016,6,11,2,1,1,0,1
7/1/2017,184,34,Female,C21,Master,62199,4/12/2017,7/5/2017,2017,7,4,1,2,2,0,1
8/1/2016,185,29,Male,C1,College,82120,11/30/2013,8/18/2016,2013,3,11,11,1,3,2,1
3/1/2017,187,34,Male,C26,Bachelor,20922,11/2/2016,3/15/2017,2016,6,11,1,2,2,0,1
11/1/2016,190,36,Female,C1,College,108051,11/7/2015,11/2/2016,2015,5,11,4,4,4,0,1
2/1/2017,193,47,Male,C26,Master,59084,5/7/2015,2/22/2017,2015,5,5,7,1,2,1,1
10/1/2017,194,30,Male,C8,College,54074,6/28/2017,10/12/2017,2017,7,6,1,2,2,0,1
12/1/2017,195,27,Male,C18,College,19419,9/28/2017,11/28/2017,2017,7,9,1,1,1,0,1
12/1/2017,196,44,Male,C14,Bachelor,75001,5/29/2017,12/26/2017,2017,7,5,2,3,3,0,2
9/1/2016,197,41,Male,C25,Bachelor,94594,10/16/2010,9/23/2016,2010,0,10,24,2,3,1,1
6/1/2017,200,46,Male,C8,Bachelor,66707,11/28/2016,6/27/2017,2016,6,11,2,3,3,0,1
9/1/2016,201,38,Female,C5,College,42260,5/30/2016,9/7/2016,2016,6,5,1,3,3,0,1
11/1/2017,203,34,Female,C4,Master,84713,7/4/2016,11/13/2017,2016,6,7,5,3,3,0,1
4/1/2016,204,31,Female,C14,College,68151,12/5/2014,3/29/2016,2014,4,12,5,1,2,1,1
4/1/2016,207,32,Male,C29,College,61894,5/9/2015,4/16/2016,2015,5,5,4,3,3,0,1
5/1/2016,208,31,Male,C16,Master,31657,1/6/2016,5/24/2016,2016,6,1,2,1,1,0,1
8/1/2017,211,34,Female,C6,Master,81730,6/5/2017,7/29/2017,2017,7,6,1,3,3,0,1
5/1/2017,215,26,Female,C15,Bachelor,17307,7/19/2016,5/17/2017,2016,6,7,3,1,1,0,1
7/1/2017,216,30,Male,C20,Bachelor,86340,7/4/2016,7/25/2017,2016,6,7,4,2,2,0,1
6/1/2016,217,32,Male,C10,Bachelor,27328,5/20/2013,6/24/2016,2013,3,5,12,1,2,1,1
11/1/2016,219,36,Male,C5,College,51657,5/11/2015,11/11/2016,2015,5,5,6,2,2,0,1
10/1/2016,220,38,Female,C18,Bachelor,107539,11/20/2010,10/14/2016,2010,0,11,24,2,3,1,1
1/1/2016,221,31,Male,C3,College,13051,12/29/2015,1/19/2016,2015,5,12,0,1,1,0,1
10/1/2016,222,26,Male,C2,College,92753,9/12/2016,10/8/2016,2016,6,9,0,3,3,0,1
4/1/2016,223,25,Male,C20,College,59108,8/24/2015,4/13/2016,2015,5,8,3,2,2,0,1
5/1/2017,226,36,Female,C18,Bachelor,55528,11/9/2016,5/2/2017,2016,6,11,2,2,2,0,1
12/1/2017,227,45,Female,C29,Master,61912,5/1/2017,12/12/2017,2017,7,5,2,3,3,0,1
5/1/2017,228,45,Male,C6,Master,53385,7/25/2013,5/1/2017,2013,3,7,15,1,1,0,1
4/1/2017,229,43,Male,C28,College,104995,8/3/2016,4/10/2017,2016,6,8,3,4,4,0,2
1/1/2017,230,34,Male,C25,College,44359,10/13/2015,12/30/2016,2015,5,10,5,2,2,0,1
1/1/2016,231,32,Male,C5,Bachelor,21354,10/22/2015,1/5/2016,2015,5,10,1,1,1,0,1
1/1/2016,232,34,Male,C15,Master,23185,7/3/2015,1/21/2016,2015,5,7,2,1,1,0,1
2/1/2016,235,39,Female,C16,College,37873,10/8/2015,2/11/2016,2015,5,10,1,1,1,0,1
6/1/2017,238,32,Male,C20,College,40168,1/14/2017,6/27/2017,2017,7,1,2,2,2,0,1
1/1/2016,241,24,Male,C1,College,33901,11/12/2015,1/6/2016,2015,5,11,1,1,1,0,1
1/1/2017,242,28,Male,C21,College,11236,11/3/2016,1/7/2017,2016,6,11,1,1,1,0,1
10/1/2016,244,40,Male,C20,Master,37346,5/4/2015,10/4/2016,2015,5,5,6,1,2,1,1
12/1/2017,245,38,Male,C23,Master,77903,9/11/2017,12/15/2017,2017,7,9,1,2,2,0,1
9/1/2016,246,42,Male,C10,Bachelor,64128,12/13/2013,9/14/2016,2013,3,12,11,1,2,1,1
10/1/2017,247,39,Female,C4,College,27294,6/14/2017,10/23/2017,2017,7,6,1,2,2,0,1
1/1/2016,256,21,Male,C10,College,25172,10/19/2015,1/22/2016,2015,5,10,1,1,1,0,1
2/1/2017,257,30,Male,C29,Bachelor,31655,12/14/2016,2/8/2017,2016,6,12,1,3,3,0,1
1/1/2017,260,29,Male,C24,Bachelor,47864,10/31/2016,1/6/2017,2016,6,10,1,1,1,0,1
4/1/2017,261,42,Female,C20,Master,90988,7/27/2015,4/12/2017,2015,5,7,7,3,3,0,1
7/1/2016,262,28,Female,C2,Bachelor,24862,1/16/2016,7/16/2016,2016,6,1,2,2,2,0,1
12/1/2017,264,25,Male,C11,Master,49439,12/18/2017,12/18/2017,2017,7,12,0,1,1,0,1
6/1/2016,266,43,Male,C16,Bachelor,40102,10/17/2014,6/8/2016,2014,4,10,7,1,2,1,1
7/1/2017,267,36,Male,C5,College,89200,10/7/2016,7/14/2017,2016,6,10,3,3,3,0,2
8/1/2017,268,31,Female,C6,Bachelor,54352,6/1/2016,7/29/2017,2016,6,6,5,1,1,0,1
8/1/2017,270,36,Male,C11,Bachelor,76336,5/4/2017,7/29/2017,2017,7,5,1,3,3,0,1
3/1/2016,278,34,Male,C2,College,52191,10/21/2013,3/17/2016,2013,3,10,10,1,1,0,1
7/1/2017,279,29,Female,C2,College,41800,11/2/2016,7/3/2017,2016,6,11,3,1,1,0,1
2/1/2017,280,34,Female,C6,Master,108013,10/12/2010,2/11/2017,2010,0,10,25,4,4,0,1
12/1/2017,282,29,Female,C21,College,57339,8/16/2017,11/29/2017,2017,7,8,1,2,2,0,1
2/1/2017,284,34,Male,C20,Master,42189,1/3/2017,2/13/2017,2017,7,1,0,2,2,0,1
11/1/2017,286,30,Female,C24,Bachelor,70781,7/13/2017,11/7/2017,2017,7,7,1,2,2,0,1
9/1/2017,287,30,Female,C7,College,13605,5/22/2017,9/4/2017,2017,7,5,1,1,1,0,1
11/1/2016,290,25,Female,C5,Bachelor,66842,7/28/2016,10/29/2016,2016,6,7,1,1,1,0,1
5/1/2016,291,27,Female,C20,Master,49695,2/12/2015,5/14/2016,2015,5,2,5,2,2,0,1
8/1/2017,292,33,Female,C29,Master,81858,7/5/2017,7/29/2017,2017,7,7,0,3,3,0,1
3/1/2016,293,28,Female,C11,Bachelor,45981,12/2/2013,3/23/2016,2013,3,12,9,1,1,0,1
6/1/2016,295,29,Female,C8,College,35983,1/5/2016,6/24/2016,2016,6,1,2,2,2,0,1
4/1/2017,298,39,Male,C20,College,70753,9/12/2016,4/17/2017,2016,6,9,2,3,3,0,1
11/1/2016,299,36,Female,C28,College,25851,8/20/2016,10/31/2016,2016,6,8,1,1,1,0,1
5/1/2016,303,42,Male,C28,Bachelor,78645,10/15/2012,4/29/2016,2012,2,10,14,1,2,1,1
2/1/2016,305,24,Male,C9,College,20176,8/26/2015,2/8/2016,2015,5,8,2,1,1,0,1
10/1/2017,307,39,Male,C26,College,88207,10/5/2015,10/26/2017,2015,5,10,8,2,4,2,1
9/1/2017,312,34,Male,C16,College,26047,3/18/2017,9/25/2017,2017,7,3,2,2,2,0,1
9/1/2017,313,31,Female,C15,College,96603,4/18/2017,9/20/2017,2017,7,4,2,3,3,0,1
10/1/2017,315,29,Female,C9,Master,50281,9/12/2017,10/5/2017,2017,7,9,0,3,3,0,1
2/1/2016,316,47,Male,C12,Master,42592,9/19/2015,2/15/2016,2015,5,9,2,1,1,0,1
8/1/2017,317,35,Male,C5,Bachelor,59936,6/17/2016,7/29/2017,2016,6,6,4,2,2,0,1
1/1/2017,318,33,Female,C3,Bachelor,37890,10/18/2016,1/20/2017,2016,6,10,1,1,1,0,1
3/1/2017,319,30,Male,C27,Master,51819,1/2/2017,3/9/2017,2017,7,1,1,3,3,0,1
4/1/2017,321,27,Female,C25,Bachelor,29869,10/31/2016,4/12/2017,2016,6,10,2,1,1,0,1
11/1/2016,322,41,Female,C6,College,57245,6/15/2016,11/23/2016,2016,6,6,2,2,2,0,1
8/1/2016,325,26,Male,C15,Master,50739,11/30/2015,7/29/2016,2015,5,11,3,1,1,0,1
7/1/2017,326,24,Male,C28,Master,69454,4/21/2017,7/11/2017,2017,7,4,1,2,2,0,1
4/1/2016,327,38,Male,C3,Bachelor,26658,5/29/2015,4/21/2016,2015,5,5,4,1,1,0,1
8/1/2016,328,35,Female,C28,Bachelor,54816,12/11/2015,8/25/2016,2015,5,12,3,3,3,0,1
2/1/2016,330,39,Female,C15,Bachelor,35694,9/24/2015,2/3/2016,2015,5,9,1,1,1,0,1
3/1/2016,332,29,Male,C24,Master,51152,2/3/2016,3/1/2016,2016,6,2,0,1,1,0,1
5/1/2016,333,44,Female,C6,Bachelor,45796,9/19/2015,4/30/2016,2015,5,9,2,1,1,0,1
5/1/2016,334,29,Female,C9,College,58812,1/7/2016,5/11/2016,2016,6,1,1,2,2,0,1
8/1/2017,336,47,Male,C10,Master,140769,2/10/2015,7/29/2017,2015,5,2,10,2,4,2,1
3/1/2016,337,45,Female,C8,Master,62135,9/15/2015,3/3/2016,2015,5,9,2,2,2,0,1
5/1/2017,339,32,Male,C17,Bachelor,55937,6/13/2016,5/12/2017,2016,6,6,4,3,3,0,1
3/1/2016,340,36,Male,C16,College,33327,8/8/2015,3/23/2016,2015,5,8,3,1,1,0,1
1/1/2017,342,45,Male,C18,Master,83084,7/9/2015,1/20/2017,2015,5,7,6,3,3,0,1
5/1/2017,343,24,Male,C4,Bachelor,26563,1/16/2017,5/5/2017,2017,7,1,1,1,1,0,1
3/1/2017,344,28,Male,C2,Bachelor,55938,2/2/2017,3/15/2017,2017,7,2,0,3,3,0,1
4/1/2017,346,31,Female,C2,Bachelor,92158,12/2/2016,3/30/2017,2016,6,12,1,3,3,0,1
2/1/2016,347,36,Female,C15,College,57044,1/5/2015,2/18/2016,2015,5,1,4,2,3,1,1
10/1/2016,349,33,Male,C26,Master,56317,5/27/2016,10/17/2016,2016,6,5,2,2,2,0,1
2/1/2016,350,33,Male,C10,Master,55441,12/3/2015,2/8/2016,2015,5,12,1,2,2,0,1
7/1/2016,352,44,Male,C24,College,39564,2/24/2016,7/27/2016,2016,6,2,2,1,1,0,1
11/1/2017,353,31,Female,C18,Master,33134,7/15/2015,11/13/2017,2015,5,7,9,1,1,0,1
3/1/2016,354,31,Female,C11,College,60555,11/30/2015,2/27/2016,2015,5,11,1,1,1,0,1
8/1/2016,355,34,Male,C22,Master,135879,6/16/2015,8/9/2016,2015,5,6,5,3,3,0,1
2/1/2016,360,39,Female,C20,Bachelor,58347,10/21/2015,2/13/2016,2015,5,10,1,2,2,0,1
3/1/2016,361,33,Male,C21,College,13743,9/17/2015,3/18/2016,2015,5,9,2,1,1,0,1
9/1/2017,363,30,Male,C21,Master,67650,12/8/2016,9/18/2017,2016,6,12,3,2,2,0,1
7/1/2017,364,27,Male,C13,Master,35727,3/7/2017,6/29/2017,2017,7,3,1,1,1,0,1
5/1/2017,365,24,Female,C22,College,44740,2/1/2017,5/19/2017,2017,7,2,1,2,2,0,1
12/1/2017,369,32,Male,C20,College,28186,9/20/2017,12/12/2017,2017,7,9,1,1,1,0,1
12/1/2016,372,33,Female,C26,College,82259,6/30/2016,12/26/2016,2016,6,6,2,2,2,0,1
6/1/2017,373,30,Female,C23,Master,38569,11/1/2016,6/19/2017,2016,6,11,3,1,1,0,1
10/1/2016,379,31,Male,C13,Master,29106,5/22/2015,10/18/2016,2015,5,5,6,1,1,0,1
9/1/2016,384,26,Female,C27,Bachelor,52364,10/21/2015,9/22/2016,2015,5,10,4,2,2,0,1
9/1/2016,386,45,Female,C18,Bachelor,137082,2/6/2012,9/10/2016,2012,2,2,18,2,4,2,2
3/1/2016,387,29,Female,C22,Master,45245,11/25/2013,3/17/2016,2013,3,11,9,1,1,0,1
10/1/2016,389,30,Female,C15,Master,45923,5/23/2016,10/24/2016,2016,6,5,2,2,2,0,1
2/1/2016,390,32,Female,C22,Master,70428,10/29/2015,2/1/2016,2015,5,10,1,1,1,0,1
4/1/2017,392,35,Female,C20,Bachelor,84850,1/30/2017,4/6/2017,2017,7,1,1,3,3,0,1
1/1/2017,397,28,Male,C12,Master,73194,6/2/2016,1/13/2017,2016,6,6,2,2,2,0,1
4/1/2016,399,31,Male,C5,Master,40604,10/17/2015,4/27/2016,2015,5,10,2,1,1,0,1
5/1/2016,401,38,Female,C23,College,76069,6/2/2015,4/29/2016,2015,5,6,4,2,2,0,1
9/1/2016,404,36,Male,C1,College,41553,10/19/2015,9/22/2016,2015,5,10,4,2,2,0,2
5/1/2017,405,34,Male,C14,Master,25028,6/6/2016,5/23/2017,2016,6,6,4,1,1,0,1
6/1/2016,406,43,Male,C12,Master,38625,8/22/2015,6/17/2016,2015,5,8,3,1,1,0,1
4/1/2016,410,39,Male,C24,Bachelor,57225,8/5/2015,4/27/2016,2015,5,8,3,2,2,0,1
3/1/2016,411,28,Female,C1,Bachelor,52572,2/17/2015,3/7/2016,2015,5,2,4,1,1,0,1
8/1/2017,414,33,Female,C25,College,97153,1/21/2015,7/29/2017,2015,5,1,10,2,3,1,2
12/1/2016,416,35,Female,C27,College,92559,7/6/2016,12/5/2016,2016,6,7,2,3,3,0,1
12/1/2016,418,31,Male,C15,Bachelor,74051,7/30/2012,12/21/2016,2012,2,7,18,1,2,1,1
2/1/2016,419,26,Male,C13,Master,38390,10/7/2015,2/22/2016,2015,5,10,2,1,1,0,1
10/1/2016,421,41,Male,C4,Master,93113,11/7/2012,10/3/2016,2012,2,11,16,1,2,1,1
6/1/2016,423,36,Male,C20,College,43083,4/29/2013,6/21/2016,2013,3,4,13,1,1,0,1
10/1/2016,424,40,Male,C17,College,74684,9/2/2015,10/6/2016,2015,5,9,4,2,2,0,1
8/1/2016,426,34,Male,C24,Master,65053,7/14/2015,8/26/2016,2015,5,7,4,2,2,0,1
7/1/2016,429,37,Male,C8,College,120771,6/15/2016,7/6/2016,2016,6,6,0,2,4,2,1
4/1/2016,430,32,Male,C28,College,14489,1/6/2016,3/29/2016,2016,6,1,1,1,1,0,1
4/1/2017,432,36,Male,C14,College,17047,6/8/2016,4/24/2017,2016,6,6,4,1,1,0,1
10/1/2017,433,37,Male,C13,Master,78656,5/29/2017,10/23/2017,2017,7,5,2,3,3,0,1
5/1/2016,435,29,Male,C22,College,63479,6/12/2015,5/21/2016,2015,5,6,4,1,1,0,1
9/1/2016,436,28,Male,C24,Master,128590,6/9/2014,9/14/2016,2014,4,6,9,1,4,3,1
10/1/2016,438,43,Female,C9,Master,81206,10/14/2015,10/14/2016,2015,5,10,4,1,2,1,1
9/1/2017,439,27,Male,C3,Bachelor,60246,11/28/2016,9/27/2017,2016,6,11,3,1,1,0,2
11/1/2016,442,32,Male,C23,Master,73933,9/20/2016,11/5/2016,2016,6,9,1,3,3,0,1
